id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name
5011,2905,THEODORE,ACT,149.110025,-35.431011,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5012,2906,BANKS,ACT,149.08972,-35.45676,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5013,2906,CONDER,ACT,149.08972,-35.45676,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
5014,2906,GORDON,ACT,149.08972,-35.45676,TUGGERANONG DC,Delivery Area,Updated 6-Feb-2020,80107,Tuggeranong,801,Australian Capital Territory
4734,2911,CRACE,ACT,149.132505,-35.218737,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4735,2911,MITCHELL,ACT,149.132505,-35.218737,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4736,2912,GUNGAHLIN,ACT,149.123552,-35.172453,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
20749,2913,CASEY,ACT,149.0947174,-35.16700193,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4737,2913,FRANKLIN,ACT,149.132349,-35.201802,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4738,2913,GINNINDERRA VILLAGE,ACT,149.132349,-35.201802,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4739,2913,NGUNNAWAL,ACT,149.132349,-35.201802,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4740,2913,NICHOLLS,ACT,149.132349,-35.201802,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4741,2913,PALMERSTON,ACT,149.132349,-35.201802,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
20750,2913,TAYLOR,ACT,149.1071988,-35.14680361,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4742,2914,AMAROO,ACT,149.125877,-35.170334,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4743,2914,BONNER,ACT,149.125877,-35.170334,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4744,2914,FORDE,ACT,149.125877,-35.170334,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
4745,2914,HARRISON,ACT,149.125877,-35.170334,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
20751,2914,JACKA,ACT,149.130428,-35.14951653,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
20752,2914,MONCRIEFF,ACT,149.116306,-35.15882066,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
20753,2914,THROSBY,ACT,149.1636815,-35.19159199,ACT and surrounding areas,Delivery Area,Updated 6-Feb-2020,80104,Gungahlin,801,Australian Capital Territory
